path,classification,stage,reason
.act-agent-bootstrap,LOCAL_ONLY,NO,machine-specific bootstrap or launcher
.cache/resume-act-agent.sh,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.coverage,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.gitattributes,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
.github/workflows/ci.yml,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
.gitignore,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
.launch-act-agent-codex.sh,LOCAL_ONLY,NO,machine-specific bootstrap or launcher
.mypy_cache/.gitignore,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.mypy_cache/3.12/cache.db,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.mypy_cache/CACHEDIR.TAG,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.pytest_cache/.gitignore,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.pytest_cache/CACHEDIR.TAG,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.pytest_cache/README.md,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.pytest_cache/v/cache/lastfailed,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.pytest_cache/v/cache/nodeids,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/.gitignore,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/10101314280228623664,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/10119858662226302706,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/10229079309338278199,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/10328438792252354060,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/10871167903424945134,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/11249194121168206810,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/11663600224249869021,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/12015646946994187684,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/13839510124030428730,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/14411485664399759853,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/15406682559894115773,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/15880579088537860993,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/16565230472325191037,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/18408053288898918984,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/18444057404391291638,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/3162703024907435508,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/3408228108524234494,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/4454569000628158428,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/6523258596979981484,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/7278533720302602790,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/8310448811904931837,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/8556178827582942808,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/0.16.8/8830761554996516206,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
.ruff_cache/CACHEDIR.TAG,LOCAL_ONLY,NO,"ignored tool cache, bytecode, or local runtime file"
AGENTS.md,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
ARCHIVE_AUDIT.md,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
ARCHIVE_FILE_CLASSIFICATION.csv,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
MASTER_PROMPT.md,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
MASTER_PROMPT.sha256,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
PROJECT_PLAN.md,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
README.md,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
START_PROMPT.txt,INCLUDE_IN_RELEASE,YES,archive metadata or reproducibility support file
STATUS.md,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
artifacts/ablation_plan.json,INCLUDE_IN_RELEASE,YES,"canonical source, report, protocol, receipt, or evidence in release manifest"
